['R$ 19,84', 'R$ 7,29', 'R$ 11,36', 'R$ 13,45', 'R$ 137,13', 'R$ 4,74', 'R$ 22,29', 'R$ 2,36', 'R$ 40,93', 'R$ 1,85', 'R$ 5,79', 'R$ 10,99']
['R$ 3,33', 'R$ 18,25', 'R$ 1,42', 'R$ 13,23', 'R$ 4,42', 'R$ 4,84', 'R$ 1,50', 'R$ 79,09', 'R$ 67,10', 'R$ 1,98', 'R$ 10,61', 'R$ 1,90']
['R$ 6,63', 'R$ 12,71', 'R$ 4,48', 'R$ 57,63', 'R$ 1,93', 'R$ 15,50', 'R$ 2,98', 'R$ 4,30', 'R$ 4,41', 'R$ 15,58', 'R$ 0,70', 'R$ 69,55']
['R$ 6,06', 'R$ 2,02', 'R$ 123,64', 'R$ 8,63', 'R$ 38,03', 'R$ 7,10', 'R$ 9,25', 'R$ 9,24', 'R$ 2,99', 'R$ 8,11', 'R$ 5,64', 'R$ 57,81']
['R$ 8,15', 'R$ 10,41', 'R$ 1,41', 'R$ 8,60', 'R$ 0,85', 'R$ 5,08', 'R$ 12,90', 'R$ 1,51', 'R$ 2,99', 'R$ 56,24', 'R$ 103,68', 'R$ 42,55']
['R$ 15,74', 'R$ 3,67', 'R$ 47,57', 'R$ 11,61', 'R$ 1,86', 'R$ 3,93', 'R$ 4,35', 'R$ 11,16', 'R$ 3,83', 'R$ 5,15', 'R$ 43,41', 'R$ 1,08']
['R$ 5,96', 'R$ 1,72', 'R$ 4,80', 'R$ 6,90', 'R$ 57,02', 'R$ 2,72', 'R$ 29,19', 'R$ 174,26', 'R$ 1,43', 'R$ 8,17', 'R$ 14,61', 'R$ 28,23']
['R$ 12,72', 'R$ 1,69', 'R$ 0,99', 'R$ 5,07', 'R$ 20,08', 'R$ 5,18', 'R$ 8,37', 'R$ 22,36', 'R$ 24,35', 'R$ 4,92', 'R$ 21,74', 'R$ 0,99']
['R$ 4,50', 'R$ 6,32', 'R$ 1,90', 'R$ 14,36', 'R$ 4,08', 'R$ 4,82', 'R$ 2,81', 'R$ 3,10', 'R$ 72,30', 'R$ 1,65', 'R$ 1,34', 'R$ 21,12']
['R$ 27,47', 'R$ 4,92', 'R$ 19,87', 'R$ 61,15', 'R$ 4,18', 'R$ 8,93', 'R$ 5,88', 'R$ 9,25', 'R$ 9,79', 'R$ 15,71', 'R$ 144,05', 'R$ 28,34']
['R$ 5,56', 'R$ 4,16', 'R$ 27,81', 'R$ 12,13', 'R$ 0,56', 'R$ 3,03', 'R$ 38,98', 'R$ 22,75', 'R$ 5,44', 'R$ 48,41', 'R$ 5,45', 'R$ 7,68']
