['ALONSO_', 'BellaMMN', 'Andrea Costa', 'Dani_alamo_adv', 'Marciaad', 'T.A.K.A', 'email', 'panini.joão', 'xande502', '4788999900', 'Clark Rodrigues', 'Ciclope']
['F15 Roldan', 'Peterson 1', 'Jairo_Marsil', 'KelVi___', 'Bia-2021', 'gersonabj', 'Daniel de Santi', 'petroniodocort', 'gordinhovencedor', 'Tancredo29', 'email', 'EQUINOX-SRS']
['franciscojunior.', 'cadumusic', 'Mafiosa-07', 'Barretinho123', 'jessicam.victoria.mg', 'FOSTER13', 'Petrus48', 'gobbo', 'email', 'Comboyodamoto', 'marcelomaestro7', 'Le_Mazzer']
['lfernandocs', 'Tonelli_Moises', 'email', 'murilomarinho', 'GARMEL', 'Kelvin_Soares_RJ', 'Kelvin_Soares_RJ', 'vagnerpirajá', 'Choliveira', 'lajr', 'meu_esse_', 'jribeiromourao']
['email', 'narapozzan', 'marciocimed', 'carlos conti', 'Sangiovese', 'reneraphael', 'KANDREVA', 'larygaby', 'rafi_moreira', 'VACINADO', 'S.A.T.O', 'c.frisoni']
['Sangiovese', 'adelinoalberto', 'lilibonelli', 'Rodeio', 'Japy.', 'BAHIAN0', 'Clenilson08', 'Ramoni', 'email', 'gilmarques_silva3', 'Rapha_Zanetti_SP', 'email']
['email', 'alvarengaa', 'Ricamil.', 'gildodespachante', 'FERNANDOSANTI', 'Jaqueewadi', 'Joelson moniz', 'vagnerpirajá', 'Epmoura', 'SaiForaMeu', 'sromar', 'sromar']
['Kaka-lima77', 'jocéliop', 'email', '_cyber_', 'email', 'Jrmaverick13', 'Beraldo2000', '25100219', 'DANIEL225', 'mariaodete', 'Cleiton_EUA', 'maabergamo']
['Denaogoncalves', 'joãominas83', 'DANIEL225', 'email', 'flavianbc', 'heliaf', 'AnapaulaSousa15', 'LEOFOREX', 'Leandro Gama 89', 'JAPONEISPRETO', 'rcobucci', 'guifra']
['D.U.B.A.I.', 'Beltramy', 'Tancredo29', 'ldicastro', 'Sah_Caleron', 'p.caldana', 'julioba', 'Taratata', 'MAEDA', 'Johonlenonn', 'JSM.SILVA', 'Heitoralphaville']
['ugan_silva', 'leonel_ram_ms', 'ELCIU', 'Johonlenonn', 'f.panigassi', 'Cenoura7', 'Renatozacardi', 'Jrmaverick13', 'S.POLIO2', 'bel chinaglia', 'casabranca2021', 'FernandaTrajano']
