['Luiscma96', 'Maxave2005', 'san_silva', 'f.panigassi', 'MARTEL0', 'Divina Flor', 'Renatovilas', 'Matheusvpm', 'email', 'waltz221', 'Cleberal', 'DonaOnça']
['chicosá', 'LaminadosSP', 'julio0808', '@deixacomigo', 'g_gutierres', 'PieroSimasSouto', 'FILHO DE DEUS DE SRAEL', 'panini.joão', 'inaciograflab', 'brenoaracruz', 'Luiscma96', 'FSLima']
['CRISMM', 'Cassio.damasceno', 'C.gomes', 'marcobonazi', 'Naama', 'Luiscma96', 'Randômico', 'Luanfelix', 'lira.marcella', 'DODs.', 'email', 'email']
['maabergamo', 'Genilton', 'Carletto365', 'schiavo', 'Round6', 'Esteeulevo', 'viniTESTA', 'Adélia1211', 'hegon', 'Esteeulevo', 'vitacir.campeão', 'DomFidalgo']
['marciocimed', 'jovair_jova', 'MAHM', 'Mauricio Lopes Santos', 'Sah_Caleron', 'FERNANDOSANTI', 'todevolta', 'David Matheus', 'douglas barbosa', 'ZiKaDo', 'c.frisoni', 'email']
['cadumusic', 'Luanfelix', 'VéinhoZL', '@cpiracicaba__', 'Jc95194107', 'B-Carneiro', 'JUPRUNES', 'Rainhadosleilões', 'Sil_90', 'r13038621', 'Fabiomonti7', 'Daniel de Santi']
['Frans1524', 'Mauricio Lopes Santos', 'Brutta', 'Vainner-SC', 'email', 'Jbmj45', 'MaisUmMeu', 'j.menezes-sc', 'email', 'fagnervalido', 'Liu2000', 'jalney1000']
['@caiomanfredinni', 'Falcone_', 'email', 'Sortudo.com', 'Márião', '80465110215', 'alysonp', 'heliopt13', 'OscarRody', 'Sil_90', 'gildodespachante', 'Emer.ac']
['tiagoshark1', 'Eduardomad', 'pcopedro', 'TigreSL', '@Minha.Meta', 'Viniciuslealt', 'Lubarbosa69', 'LEBMARQUES', 'reidoleilão', 'bomdemaisisso', 'gilberto_silva92', 'email']
['gordinhovencedor', 'Irinaldo', 'marambaia', 'Carletto365', 'Charles e Vilma', 'GUTTA', 'Francigley123', 'rodolfotozy', 'sorte10', 'zarat', 'Grolli_Cesar', 'vitacir.campeão']
['Marcos Araújo da Silva', 'henriquefrasson', 'FOSTER13', 'Ramoni', 'email', 'KaiqueSoaresSouza', 'Jairo_Marsil', 'sandrocarriel', 'WDM', 'politi', 'Wellington.616', 'gentemedeixa']
['Macrini', 'LiderBTC', 'Macaulei', 'Val_Duprat', 'maeve', 'email', 'Jediel_Londrina', 'nald095', 'wandercleyson', 'catharinaiglesias', 'cutrimnet', 'taynan_vozza']
['xandytimão', 'email', 'Klézio', '@Minha.Meta', 'wandercleyson', 'Agenor Mendonça', 'R.Canella', 'Fanin.Ricardo.Bsp', 'min de papai', 'LUCASSILVA33', 'Fillypi', 'email']
['email', 'Luiscma96', 'Kate Marrone', 'S.A.T.O', 'FabioTrader', 'edilsonvital', 'email', 'Rapha_Zanetti_SP', 'patrickkramer', 'K.I.W.A.2000', 'luan Christiann', 'reidoleilão']
['email', 'serepieri', 'email', 'Gabrielmmn13', 'R.Canella', 'nparoateganhar', 'lustoza', 'VACINADO', 't.santana.rj', 'email', 'carlopiracaia22', 'Joelson moniz']
['Erika1999', 'email', 'Ratão_', 'Julieneeee', 'Benevenuto', 'Luizinho78', 'Flavinho diniz', 'email', 'nandacastroamg', 'JJuniorM', 'Rainhadosleilões', 'Berlison']
['Beto ribas', 'marcelozucco', 'Adelrs5000', 'serepieri', 'JordâniaAlves', 'email', 'DomFidalgo', 'zequinha40', 'marcelozucco', 'Cheiroso', 'inovart', 'email']
['Boldrini22', 'email', 'guilhermegggg', 'email', 'Jairo_Marsil', 'RicoMarques90', 'MarkAndrioli04', 'TRV05', 'josielvianna', 'joãominas83', 'KelVi___', 'Jocimas2']
['MaisUmMeu', 'Mara edilma', 'Renatozacardi', 'Luiscma96', 'email', 'ElizeuGottardo', 'aldasarzotto', 'cleudo_souza', 'Beraldo2000', 'cundera', 'Taty27', 'Gardel']
['D.U.B.A.I.', 'M.Sada', 'TRV05', 'pessoaalencar', 'Marcosoli07', 'flamarion_', 'MAEDA', 'Daniel de Santi', 'DESISTIRJAMAIS', 'email', 'email', 'Berlison']
['cinthiadalle', 'Liu2000', 'bel chinaglia', 'email', 'Jediel_Londrina', 'Nanda78', 'Taty27', 'JogaFácil', 'catharinaiglesias', 'MBG1976', 'Cleiton_EUA', 'email']
['Afonsobad', 'Humildinho', 'flavio.tonelli', 'marcelamattos', 'Mario Bgtv', 'vieiramarcio13', 'Ak helicopetero', 'Secchin', 'Jairo_Marsil', 'lut_cars', 'Bueno9719', 'gumercindodias']
